Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
Allegheny Center,1,791,140,7,11,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,6,10,32,48,28,40,22,19,156,122,0,10,33,22,110,60,53,38,176,73,74,66,88,50,6,9
Allegheny West,2,283,92,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,13,19,0,10,9,21,6,10,0,10,0,10,0,10,35,29,15,24,10,23,18,12,25,19,121,61,12,13,13,16,6,9
Allentown,3,1611.0,247.786198163,14.0,24.4948974278,0.0,17.3205080757,0.0,17.3205080757,6.0,20.6155281281,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,10.0,22.1133443875,12.0,25.3179778023,33.0,28.0178514523,9.0,21.354156504,40.0,33.0151480384,603.0,174.885676944,217.0,117.618025829,131.0,63.2850693292,337.0,122.987804273,59.0,43.0464865001,72.0,50.049975025,38.0,28.6356421266,30.0,29.7489495612,0.0,17.3205080757
Arlington,4,1271.0,224.512805871,37.0,39.5600808897,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,6.0,16.7630546142,0.0,17.3205080757,25.0,24.1039415864,19.0,21.6794833887,35.0,26.7207784317,31.0,23.8537208838,15.0,20.6155281281,439.0,118.308917669,116.0,65.6124988093,74.0,40.6939798988,251.0,101.247222184,124.0,54.3783044973,84.0,46.1735855224,13.0,13.0384048104,2.0,14.6969384567,0.0,17.3205080757
Arlington Heights,5,182,108,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,7,12,52,52,8,11,63,96,17,19,9,14,6,9,20,26,0,10,0,10,0,10,0,10,0,10
Banksville,6,3368.0,390.564975389,4.0,19.0787840283,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,7.0,20.5182845286,33.0,39.3192065026,106.0,108.129551928,46.0,48.1663783152,0.0,20.0,867.0,202.716550879,90.0,53.1224999412,172.0,74.4513263817,357.0,144.944817086,366.0,142.365726212,718.0,193.705962737,504.0,202.763408928,98.0,68.410525506,0.0,20.0
Bedford Dwellings,7,674,88,21,17,0,10,0,10,0,10,0,10,10,17,0,10,0,10,0,10,0,10,0,10,0,10,29,28,61,37,6,10,259,88,102,42,31,38,81,49,37,27,37,29,0,10,0,10,0,10
Beechview,8,5834.0,512.740675194,111.0,107.373181009,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,9.0,34.0,46.0,59.908263203,70.0,63.5373905664,24.0,34.0440890611,50.0,41.4487635521,125.0,87.6983466207,114.0,56.8418859643,1552.0,284.431010968,395.0,159.442779705,420.0,140.662717164,811.0,181.548891486,621.0,138.852439662,1089.0,223.539705645,293.0,98.2293235241,86.0,63.6945837572,18.0,41.0365690573
Beltzhoover,9,1347.0,246.300629313,14.0,26.4575131106,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,9.0,23.579652245,0.0,20.0,0.0,20.0,18.0,26.4575131106,92.0,75.8353479585,111.0,80.2558409089,49.0,43.5889894354,360.0,142.565774294,143.0,78.2751557009,97.0,55.344376408,247.0,102.834819006,77.0,60.3489850785,50.0,33.6452076825,80.0,52.3163454381,0.0,20.0,0.0,20.0
Bloomfield,10,6603.0,431.270216917,42.0,32.8633534502,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,4.0,30.5941170815,12.0,28.9136645896,9.0,30.2820078593,32.0,41.5331193146,5.0,31.0483493924,7.0,29.7489495612,26.0,34.6987031457,43.0,46.8828326789,38.0,33.2716095193,43.0,40.3608721412,83.0,41.5571895104,1398.0,194.419649212,229.0,93.0483745157,290.0,101.197826064,689.0,148.963082675,450.0,134.469327358,1704.0,252.713276264,1072.0,185.429231784,210.0,79.1138420254,217.0,78.4601809838
